station_id,city,year,month,avg_temp_c,precipitation_mm,sunshine_hours,humidity_pct,pressure_hpa,wind_speed_ms,evapotranspiration_mm,soil_temp_c,soil_moisture_m3m3
59431,南宁市,2010,1,12.6,4.3,0.0,89,1007.1,8.0,0.56,13.9,0.455
59431,南宁市,2010,1,13.0,4.5,0.1443222222222222,90,1007.1,7.2,0.62,13.8,0.469
59431,南宁市,2010,1,14.8,0.0,9.958016666666667,80,1006.7,5.0,2.37,15.5,0.444
59431,南宁市,2010,1,17.6,1.2,1.722663888888889,88,1002.0,10.4,1.13,17.0,0.431
59431,南宁市,2010,1,18.0,8.4,2.477227777777778,96,1001.5,10.7,0.83,18.1,0.474
59431,南宁市,2010,1,10.7,0.5,1.8858361111111113,73,1009.2,12.4,1.26,13.8,0.468
59431,南宁市,2010,1,10.1,1.0,0.0,77,1011.9,10.0,0.78,12.3,0.456
59431,南宁市,2010,1,10.9,0.0,10.000991666666666,73,1010.9,8.0,2.38,13.1,0.451
59431,南宁市,2010,1,13.0,2.8,0.0,88,1005.5,9.5,0.61,13.2,0.446
59431,南宁市,2010,1,12.8,13.2,0.0,95,1005.9,11.9,0.39,13.8,0.5
59431,南宁市,2010,1,10.9,0.2,3.916436111111111,69,1011.0,12.7,1.67,12.8,0.478
59431,南宁市,2010,1,9.4,0.0,0.0,49,1015.6,12.7,1.85,11.3,0.463
59431,南宁市,2010,1,10.2,0.0,0.0,52,1016.8,7.2,1.35,11.3,0.453
59431,南宁市,2010,1,10.9,0.0,1.1730666666666667,61,1015.6,4.8,1.26,11.7,0.446
59431,南宁市,2010,1,12.7,4.9,0.0,82,1013.8,7.3,0.59,12.9,0.458
59431,南宁市,2010,1,13.2,0.0,3.6025055555555556,81,1016.6,7.9,1.31,13.7,0.47
59431,南宁市,2010,1,14.3,0.0,7.7456555555555555,77,1015.8,6.7,1.75,14.7,0.453
59431,南宁市,2010,1,15.4,0.0,9.763930555555556,81,1012.4,5.3,2.2,15.8,0.442
59431,南宁市,2010,1,16.7,0.0,7.329958333333333,87,1008.6,11.0,1.81,16.5,0.433
59431,南宁市,2010,1,19.2,1.8,0.1582361111111111,91,1008.1,8.7,1.08,18.3,0.432
59431,南宁市,2010,1,18.3,60.1,0.0,97,1007.0,7.0,0.33,18.3,0.481
59431,南宁市,2010,1,11.1,45.4,0.0,92,1010.9,13.1,0.4,13.9,0.481
59431,南宁市,2010,1,7.8,18.7,0.0,87,1014.2,11.4,0.48,10.6,0.491
59431,南宁市,2010,1,9.5,2.8,0.0,91,1011.2,5.4,0.53,11.0,0.496
59431,南宁市,2010,1,12.6,1.8,4.1894,82,1013.2,10.7,1.29,13.0,0.493
59431,南宁市,2010,1,11.7,0.0,2.0384333333333333,69,1013.2,5.1,1.21,12.8,0.479
59431,南宁市,2010,1,15.7,0.0,0.38764166666666666,83,1007.7,6.2,1.11,15.1,0.473
59431,南宁市,2010,1,18.0,0.1,0.17573055555555556,92,1005.8,6.2,1.19,17.3,0.471
59431,南宁市,2010,1,18.4,0.0,3.441983333333333,91,1006.4,6.1,1.39,18.1,0.469
59431,南宁市,2010,1,20.3,0.8,7.281405555555556,92,1003.9,14.7,1.66,19.4,0.477
59431,南宁市,2010,1,20.6,0.4,7.310244444444445,89,1003.4,11.6,2.11,19.9,0.474
59431,南宁市,2010,2,21.1,0.9,5.982958333333333,89,1002.6,10.9,1.89,20.6,0.471
59431,南宁市,2010,2,20.7,0.1,4.975286111111111,89,1001.5,10.5,1.81,20.4,0.467
59431,南宁市,2010,2,16.3,1.1,0.0,88,1003.9,10.0,0.87,18.1,0.469
59431,南宁市,2010,2,14.3,0.1,0.0,83,1005.6,9.5,0.9,16.2,0.467
59431,南宁市,2010,2,15.9,0.3,0.04153888888888889,89,1004.5,6.7,0.93,16.5,0.47
59431,南宁市,2010,2,21.0,0.6,3.723866666666667,91,1002.9,10.9,1.51,19.4,0.471
59431,南宁市,2010,2,20.0,1.2,4.815322222222222,91,1004.1,9.7,1.47,20.1,0.476
59431,南宁市,2010,2,22.1,0.9,9.820699999999999,88,1000.8,15.0,2.53,21.3,0.473
59431,南宁市,2010,2,23.8,0.0,9.619547222222224,83,997.9,17.0,3.27,22.6,0.464
59431,南宁市,2010,2,24.8,0.0,10.495930555555555,78,996.4,19.6,4.26,23.7,0.449
59431,南宁市,2010,2,21.7,0.0,10.412263888888889,73,1000.3,13.5,4.18,23.2,0.437
59431,南宁市,2010,2,9.2,0.0,0.0,61,1012.6,16.6,1.81,14.7,0.43
59431,南宁市,2010,2,8.6,0.8,0.0,78,1009.3,7.5,0.77,12.1,0.439
59431,南宁市,2010,2,9.3,4.1,0.0,87,1007.0,11.8,0.74,11.8,0.475
59431,南宁市,2010,2,7.7,1.6,0.29207222222222223,76,1010.9,11.6,1.02,10.5,0.472
59431,南宁市,2010,2,7.2,1.1,1.267763888888889,73,1013.7,11.0,1.1,9.7,0.47
59431,南宁市,2010,2,8.6,0.6,3.8710694444444447,69,1014.6,10.8,1.39,10.2,0.468
59431,南宁市,2010,2,9.4,0.0,0.0,56,1015.2,11.1,1.77,11.0,0.458
59431,南宁市,2010,2,11.0,0.0,10.331902777777778,57,1013.4,8.6,3.0,12.6,0.448
59431,南宁市,2010,2,12.1,0.4,8.361008333333334,70,1009.0,5.5,2.14,13.2,0.441
59431,南宁市,2010,2,14.3,1.9,1.5768805555555556,83,1005.7,4.8,1.07,14.6,0.45
59431,南宁市,2010,2,17.0,0.0,6.6627,82,1005.1,5.8,2.15,16.6,0.46
59431,南宁市,2010,2,17.3,0.3,4.812380555555555,89,1001.5,11.6,1.84,16.6,0.451
59431,南宁市,2010,2,22.5,0.4,8.484680555555554,86,994.7,16.8,3.07,20.4,0.455
59431,南宁市,2010,2,24.3,0.0,11.352533333333334,78,994.4,9.6,4.5,22.6,0.442
59431,南宁市,2010,2,23.3,0.0,11.493677777777776,81,995.4,8.5,4.35,23.0,0.426
59431,南宁市,2010,2,23.3,0.0,10.99873611111111,82,998.0,10.2,3.91,23.2,0.414
59431,南宁市,2010,2,24.0,0.0,10.91538888888889,82,998.9,15.7,3.98,23.6,0.403
59431,南宁市,2010,3,24.5,0.9,11.12105,82,999.0,13.1,3.5,23.9,0.398
59431,南宁市,2010,3,25.1,0.0,11.491674999999999,81,996.4,14.2,4.4,24.6,0.394
59431,南宁市,2010,3,25.8,0.0,11.612438888888889,77,995.2,13.8,4.83,25.3,0.382
59431,南宁市,2010,3,22.1,0.0,7.672241666666666,82,996.4,10.3,2.66,23.2,0.373
59431,南宁市,2010,3,25.0,0.0,11.279133333333332,79,994.6,14.0,4.68,24.6,0.366
59431,南宁市,2010,3,18.5,0.0,1.2321722222222222,78,1000.3,13.4,1.77,21.0,0.361
59431,南宁市,2010,3,13.2,0.0,5.681500000000001,66,1006.7,13.2,2.37,17.1,0.36
59431,南宁市,2010,3,10.9,5.9,0.0,86,1008.8,12.8,0.78,14.1,0.39
59431,南宁市,2010,3,9.9,1.3,6.094488888888889,58,1018.6,19.0,2.64,12.6,0.422
59431,南宁市,2010,3,11.6,0.0,10.625047222222221,45,1018.7,10.3,3.75,14.0,0.406
59431,南宁市,2010,3,14.1,0.0,11.786466666666666,55,1012.7,8.0,3.96,15.7,0.391
59431,南宁市,2010,3,17.1,0.0,5.108491666666667,78,1007.2,9.4,2.33,17.2,0.38
59431,南宁市,2010,3,20.6,0.5,0.04985277777777778,87,1002.0,13.0,1.7,19.5,0.385
59431,南宁市,2010,3,23.7,0.0,10.883127777777778,82,998.5,14.9,3.47,22.3,0.383
59431,南宁市,2010,3,21.2,1.0,5.542244444444445,81,1002.9,9.3,2.61,22.1,0.379
59431,南宁市,2010,3,14.8,12.7,1.2306444444444444,81,1011.8,9.5,1.21,17.2,0.455
59431,南宁市,2010,3,17.4,0.0,1.7624166666666665,80,1012.2,4.6,1.76,18.2,0.459
59431,南宁市,2010,3,19.2,0.0,11.884397222222223,78,1010.6,4.2,3.93,20.1,0.435
59431,南宁市,2010,3,20.7,0.0,10.898722222222222,79,1003.8,12.1,3.87,20.9,0.416
59431,南宁市,2010,3,21.8,0.0,7.081047222222223,81,1001.1,10.8,2.89,21.6,0.402
59431,南宁市,2010,3,22.2,0.0,3.541436111111111,83,1002.0,8.6,2.49,22.4,0.394
59431,南宁市,2010,3,23.4,0.6,8.798002777777779,80,998.4,18.5,3.1,22.9,0.39
59431,南宁市,2010,3,23.9,0.0,4.450388888888889,82,996.4,16.5,2.78,23.3,0.385
59431,南宁市,2010,3,18.4,6.5,0.05636388888888889,87,999.7,14.3,1.29,20.4,0.407
59431,南宁市,2010,3,14.5,1.4,8.218352777777778,55,1011.3,18.8,3.67,16.8,0.427
59431,南宁市,2010,3,16.4,0.0,11.933325,52,1010.9,8.8,4.72,18.1,0.407
59431,南宁市,2010,3,17.9,0.0,11.293552777777778,63,1010.6,5.7,4.1,19.1,0.389
59431,南宁市,2010,3,20.2,0.0,11.945569444444445,63,1009.0,6.2,4.48,20.8,0.374
59431,南宁市,2010,3,20.9,0.0,7.336016666666667,64,1006.2,15.4,3.79,21.0,0.36
59431,南宁市,2010,3,22.1,1.9,6.466558333333333,78,1004.3,16.2,2.84,21.7,0.36
59431,南宁市,2010,3,22.9,1.1,3.0336055555555554,82,1002.1,15.7,2.37,22.3,0.367
59431,南宁市,2010,4,22.8,3.2,6.830852777777777,81,1001.0,8.0,2.71,22.9,0.374
59431,南宁市,2010,4,17.8,1.8,1.0733166666666667,75,1005.3,11.5,1.8,19.5,0.406
59431,南宁市,2010,4,16.9,8.2,0.0,89,1005.8,7.8,0.81,18.2,0.461
59431,南宁市,2010,4,20.1,2.5,0.3913055555555556,94,1002.0,5.8,1.36,19.8,0.466
59431,南宁市,2010,4,22.3,1.7,0.0,93,998.7,9.1,1.15,21.2,0.467
59431,南宁市,2010,4,23.7,2.5,3.3483055555555556,86,1000.0,9.4,2.17,22.9,0.463
59431,南宁市,2010,4,19.3,16.4,0.0,80,1005.9,10.3,1.52,20.4,0.471
59431,南宁市,2010,4,18.1,10.1,8.0,80,1005.9,9.5,3.18,19.6,0.467
59431,南宁市,2010,4,20.3,1.0,0.7857777777777778,87,1000.0,12.3,1.69,20.1,0.46
59431,南宁市,2010,4,23.9,2.5,0.8749,90,995.2,15.4,1.88,22.6,0.486
59431,南宁市,2010,4,26.2,0.0,12.0,82,992.9,16.2,4.6,24.8,0.466
59431,南宁市,2010,4,26.7,0.0,12.0,81,993.5,13.9,4.51,25.8,0.447
59431,南宁市,2010,4,20.5,0.5,0.0,83,1001.1,14.7,1.79,22.6,0.438
59431,南宁市,2010,4,15.5,6.3,0.0,90,1005.1,11.1,1.03,18.4,0.478
59431,南宁市,2010,4,11.6,2.5,0.0,83,1010.1,12.1,0.95,14.7,0.493
59431,南宁市,2010,4,12.8,19.7,0.0,84,1009.8,6.2,0.85,14.5,0.482
59431,南宁市,2010,4,14.9,14.3,0.0,93,1007.2,4.6,0.68,15.5,0.486
59431,南宁市,2010,4,20.2,10.0,0.0,97,1003.0,4.5,0.77,18.8,0.485
59431,南宁市,2010,4,23.8,4.3,6.3122444444444445,92,997.8,14.4,2.17,22.0,0.505
59431,南宁市,2010,4,25.4,1.9,9.094780555555555,87,994.4,16.9,3.44,24.0,0.495
59431,南宁市,2010,4,26.4,9.4,10.677966666666666,84,994.5,12.8,3.54,25.2,0.481
59431,南宁市,2010,4,19.7,33.3,4.504394444444444,80,1002.2,14.7,2.09,21.6,0.471
59431,南宁市,2010,4,19.2,0.0,9.622636111111111,63,1008.5,12.9,4.46,20.6,0.449
59431,南宁市,2010,4,20.0,0.0,4.118155555555556,78,1006.2,8.5,2.26,20.4,0.434
59431,南宁市,2010,4,22.2,1.1,0.016005555555555554,86,1003.3,14.2,1.44,21.3,0.439
59431,南宁市,2010,4,20.3,14.6,3.590708333333333,84,1007.0,9.8,1.92,21.1,0.449
59431,南宁市,2010,4,20.1,0.0,12.09966388888889,73,1005.9,5.3,4.12,21.1,0.433
59431,南宁市,2010,4,22.0,1.6,4.38645,84,1003.2,5.7,2.56,21.8,0.438
59431,南宁市,2010,4,22.1,15.2,5.2372805555555555,92,1003.0,6.4,2.17,22.4,0.478
59431,南宁市,2010,4,23.2,2.3,7.892605555555556,87,1004.8,7.5,2.9,23.2,0.49
59431,南宁市,2010,5,23.1,5.3,5.657713888888889,89,1004.3,7.0,2.58,23.3,0.488
59431,南宁市,2010,5,23.8,0.6,11.0,85,1002.5,5.8,3.85,24.0,0.484
59431,南宁市,2010,5,24.4,0.7,8.453305555555556,80,999.0,13.1,3.41,24.2,0.47
59431,南宁市,2010,5,25.4,0.4,5.039036111111111,84,994.5,20.2,2.91,24.8,0.464
59431,南宁市,2010,5,26.9,1.1,7.3575333333333335,86,992.2,16.3,3.2,25.8,0.464
