country,year,planting_area_ha,production_tons,yield_per_ha_tons,yield_per_mu_tons,gs_avg_temp_c,gs_precip_mm,gs_sunshine_h,gs_humidity_pct,gs_pressure_hpa,gs_wind_ms,gs_et0_mm,gs_soil_temp_c,gs_soil_moisture
Laos,2015,25000.0,1200000.0,48.0,3.2,27.024728260869566,1518.4,1638.5068,82.4836956521739,994.5135869565217,7.191847826086956,686.2,28.021195652173915,0.38813315217391303
Laos,2016,26000.0,1280000.0,49.23,3.282,26.88016304347826,1662.4499999999998,1601.2991916666665,85.34510869565217,993.4842391304347,6.975543478260869,645.79,27.879076086956523,0.4176195652173913
Laos,2017,27000.0,1350000.0,50.0,3.3333,26.519565217391303,1758.85,1623.8914166666668,85.07065217391305,993.8282608695652,8.069836956521739,637.29,27.66358695652174,0.4273804347826087
Laos,2018,28000.0,1320000.0,47.14,3.1427,26.628804347826087,1890.0,1508.9968527777778,84.31793478260869,993.6133152173913,8.194565217391304,649.11,27.63532608695652,0.4112717391304348
Laos,2019,30000.0,1450000.0,48.33,3.222,27.11875,1946.65,1635.0507083333334,82.20923913043478,993.616847826087,9.066847826086956,699.075,27.883152173913043,0.3911358695652174
Laos,2020,32000.0,1380000.0,43.13,2.8753,27.34076086956522,1647.1,1667.3965513888888,82.58152173913044,993.4326086956522,7.77445652173913,695.8050000000001,28.152173913043477,0.39616304347826087
Laos,2021,30000.0,1200000.0,40.0,2.6667,27.070108695652173,1918.5,1661.4275805555556,83.64402173913044,993.5611413043478,8.130706521739132,687.255,27.762771739130436,0.4062038043478261
Laos,2022,28000.0,1350000.0,48.21,3.214,26.092119565217388,1903.15,1583.4064569444445,85.24456521739131,993.5836956521739,8.155163043478261,683.215,26.81494565217391,0.4250081521739131
Laos,2023,29000.0,1400000.0,48.28,3.2187,27.032608695652172,2014.1,1653.0935875,84.21739130434783,993.8850543478261,7.932608695652174,714.21,27.76983695652174,0.4156657608695652
Laos,2024,30000.0,1450000.0,48.33,3.222,27.223097826086956,1771.35,1657.6263708333333,82.97282608695653,993.473097826087,7.925,731.315,28.04103260869565,0.40633423913043476
